0,1,2,3,4,5,6,7,8
Joint Ventures,"December 31, 2023",,,,,,,
,AMNS India,Calvert,VAMA,Tameh,Borçelik,Al Jubail,VdSA,Total
Place of incorporation and operation 1,India,United States,China,Poland,Turkey,Saudi Arabia,Brazil,
Principal Activity,"Integrated flat steel producer 4,5","Automotive
steel finishing 6","Automotive
steel finishing",and supply Energy production,"Manufacturing and sale of steel 2,3",Production and sale seamless line pipes and tubes,Renewable energy production and supply,
"Ownership and voting rights at December 31, 2023",60.00 %,50.00 %,50.00 %,50.00 %,50.00 %,33.34 %,55.00 %,
Current assets,"3,653","1,798",853,389,559,935,93,"8,280"
"of which cash, cash equivalents and restricted cash",926,83,201,46,12,297,3,"1,568"
Non-current assets,"10,208","2,125",788,454,238,"1,149",190,"15,152"
Current liabilities,"1,617","1,017",557,462,329,542,7,"4,531"
of which trade and other payables and provisions,"1,310",169,449,368,323,404,7,"3,030"
Non-current liabilities,"6,763","1,103",51,37,39,633,—,"8,626"
of which trade and other payables and provisions,997,—,1,28,39,61,—,"1,126"
Non-controlling interest,27,—,—,—,"—
:unselected:","—
:unselected:","—
:unselected:",27
Net assets attributable to equity holders of the parent,"5,454","1,803","1,033",344,429,909,276,"10,248"
Company's share of net assets,"3,272",902,517,172,215,303,151,"5,532"
Adjustments for differences in accounting policies and other,139,(6),—,(20),(40),6,"—
:unselected:",79
Carrying amount in the statements of financial position,"3,411",896,517,152,175,309,151,"5,611"
Revenue,"6,710","4,860","1,787",945,"1,549","1,205",—,"17,056"
Depreciation and amortization,(446),(70),(36),(37),(25),(69),"—
:unselected:",(683)
Interest income,54,—,2,2,1,—,—,59
Interest expense,(207),(51),(5),(14),(35),"(49)
:selected:","—
:unselected:",(361)
Income tax benefit (expense),(279),—,(53),(7),(33),21,—,(351)
Income (loss) from continuing operations,"1,070",99,352,7,29,274,"—
:unselected:","1,831"
Other comprehensive income (loss),(998),(20),"—
:unselected:","(14)
:selected:",(6),"—
:unselected:","—
:unselected:","(1,038)"
Total comprehensive income (loss),72,79,352,"(7)
:selected:",23,274,"—
:unselected:",793
Cash dividends received by the Company,—,58,"—
:unselected:","—
:unselected:",21,"—
:unselected:","—
:unselected:",79
