0,1,2,3,4,5,6,7,8
Joint Ventures,"December 31, 2021",,,,,,,
,AMNS India,Acciaierie d'Italia,Calvert,VAMA,Tameh,Borçelik,Al Jubail,Total
Place of incorporation and operation1,India,Italy,United States,China,Poland,Turkey,Saudi Arabia,
Principal Activity,"Integrated flat steel producer 5,6",Integrated flat steel producer7,Automotive steel finishing8,Automotive steel finishing,Energy production and supply,"Manufacturi ng and sale of steel 2,3,4",Production and sale seamless line pipes and tubes 9,
"Ownership and voting rights at December 31, 2021",60.00 %,62.00 %,50.00 %,50.00 %,50.00 %,50.00 %,29.23 %,
Current assets,"5,536","3,643","2,334",293,356,983,573,"13,718"
of which cash and cash equivalents,"1,285",92,256,56,62,155,88,"1,994"
Non-current assets,"6,260","2,669","1,418",679,497,243,"1,197","12,963"
Current liabilities,764,"3,313","1,162",466,376,723,533,"7,337"
of which trade and other payables and provisions,620,"2,840",202,272,330,581,120,"4,965"
Non-current liabilities,"5,770","1,365",790,8,169,56,640,"8,798"
of which trade and other payables and provisions,331,"1,342",—,—,24,44,45,"1,786"
Net assets,"5,262","1,634","1,800",498,308,447,597,"10,546"
Company's share of net assets,"3,157","1,013",900,249,154,224,175,"5,872"
Adjustments for differences in accounting policies and other,148,146,(34),—,—,(29),(16),215
Carrying amount in the statements of financial position,"3,305","1,159",866,249,154,195,159,"6,087"
Revenue,"7,226","3,291","4,808","1,452",721,"1,791",334,"19,623"
Depreciation and amortization,(378),(119),(65),(34),(34),(24),(42),(696)
Interest income,53,—,—,3,—,1,—,57
Interest expense,(139),(12),(28),(7),(6),(18),(27),(237)
Income tax benefit (expense),(71),211,—,(12),(4),(65),—,59
Income (loss) from continuing operations,"1,436",393,861,95,18,105,(85),"2,823"
Other comprehensive income (loss),818,—,9,—,8,9,—,844
Total comprehensive income (loss),"2,254",393,870,95,26,114,(85),"3,667"
Cash dividends received by the Company,—,—,50,—,10,13,—,73
