0,1,2,3,4,5
Associates,"December 31, 2022",,,,
,China Oriental,DHS Group,Gonvarri Steel Industries,Baffinland6,Total
,,"September 30, 2022","September 30,","December 31, 2022",
Financial statements reporting date,"June 30, 2022",,2022,,
Place of incorporation and operation1,Bermuda,Germany,Spain,Canada,
Principal Activity,Iron and steel manufacturing,Steel manufacturing,Steel manufacturing,Extraction of iron ore,
"Ownership and voting rights at December 31, 2022",37.00 %,33.43 %,35.00 %,25.23 %,
Current assets,"5,081","1,827","3,400",758,"11,066"
Non-current assets,"3,218","2,257","1,802","10,700","17,977"
Current liabilities,"4,134",640,"2,067",770,"7,611"
Non-current liabilities,314,863,815,"3,379","5,371"
Non-controlling interests,348,115,416,—,879
Net assets attributable to equity holders of the parent,"3,503","2,466","1,904","7,309","15,182"
Company's share of net assets,"1,296",824,666,"1,844","4,630"
Adjustments for differences in accounting policies and other,—,150,(43),"(1,488)","(1,381)"
Other adjustments2,(56),(183),50,—,(189)
Carrying amount in the statements of financial position,"1,240",791,673,356,"3,060"
Revenue,"3,857","2,715","5,628",482,"12,682"
Income / (loss) from continuing operations,190,428,236,(136),718
Other comprehensive income (loss),4,18,62,—,84
Total comprehensive income (loss),193,446,298,(136),801
Cash dividends received by the Company,28,10,26,—,64
