0,1,2,3,4
,Level 1,Level 2,Level 3,Total
Assets at fair value:,,,,
Investments in equity instruments at FVOCI,315,"—
:unselected:",198,513
Trade accounts receivable and other subject to TSR programs*,"—
:unselected:","—
:unselected:",170,170
Derivative financial current assets,"—
:unselected:",643,—,643
Derivative financial non-current assets,"—
:unselected:",163,"—
:unselected:",163
Total assets at fair value,315,806,368,"1,489"
Liabilities at fair value:,:unselected:,,,
Derivative financial current liabilities,"—
:unselected:",332,28,360
Derivative financial non-current liabilities,"—
:unselected:",22,54,76
Total liabilities at fair value,"—
:unselected:",354,82,436
