0,1,2,3,4,5,6,7,8,9
,"December 31, 2023",,,,,,,,
Summarized statements of cash flows,AMSA,Sonasid,AMKR,BBA,Hera Ermac,AMMC,Arceo,AM Liberia,ArcelorMittal Texas HBI LLC
Net cash provided by / (used in) operating activities,52,16,49,209,33,997,10,90,125
Net cash provided by / (used in) investing activities,(93),(20),(112),(66),509,(553),(7),(314),(122)
Net cash provided by / (used in) financing activities,27,(13),52,(148),(535),(538),(3),225,(6)
Impact of currency movements on cash,(9),5,(1),1,"—
:unselected:",—,2,—,—
Cash and cash equivalents:,,,,,,,,,
At the beginning of the year / at acquisition date,157,89,26,18,—,206,93,4,4
At the end of the year,134,77,14,14,7,112,95,5,1
Dividend to non-controlling interests,—,"(4)
:selected:",—,"(62)
:selected:",—,"(79)
:selected:","(2)
:selected:","—
:unselected:",(1)
