0,1,2,3,4,5,6,7
,% of Ownership Interest,LOCATION MAP - NAFTA,,,,,
,,2023,,2022,,2021,
,,ROM Millions of Tonnes,Product Millions of Tonnes,ROM Millions of Tonnes,Product Millions of Tonnes,ROM Millions of Tonnes,Product Millions of Tonnes
Peña Colorada - Mexico,50.0,,,,,,
At 100%,,12.8,4.1,13.5,4.1,11.8,4.1
At ownership interest (50%),,6.4,2.05,6.75,2.05,5.9,2.05
Mexico (Excluding Peña Colorada),100.0,,,,,,
Las Truchas,,3.0,1.4,4.2,1.4,4.4,1.5
San Jose/El Volcan,,1.4,0.7,2.4,1.0,3.0,1.3
"NAFTA, (100% basis)",,17.2,6.2,20.1,6.5,19.2,6.9
"NAFTA, (ArcelorMittal ownership basis)",,10.8,4.15,13.4,4.5,13.3,4.8
