0,1
,ArcelorMittal's 10 SD Outcomes
1,"Safe, healthy, quality working lives for ArcelorMittal's people"
2,Products that accelerate more sustainable lifestyles
3,Products that create sustainable infrastructure
4,Efficient use of resources and high recycling rates
5,"Trusted user of air, land and water"
6,Responsible energy user that helps create a lower-carbon future
7,Supply chains that ArcelorMittal's customers trust
8,Active and welcomed member of the community
9,A pipeline of talented scientists and engineers for tomorrow
10,"ArcelorMittal's contribution to society measured, shared and valued"
