0,1,2,3
Brazil,,,
(in millions of USD unless otherwise shown),"Performance for the year ended December 31,",,
,2023,2022,2021
Sales,"13,163","13,732","12,856"
Depreciation,(341),(246),(228)
Operating income,"1,461","2,775","3,798"
Crude steel production (thousand tonnes),"13,986","11,877","12,413"
Flat product shipments,"8,833","6,423","6,425"
Long product shipments,"4,905","5,179","5,332"
Others and eliminations,(57),(86),(62)
Total steel shipments (thousand tonnes),"13,681","11,516","11,695"
Average steel selling price (USD/tonne),939,"1,114","1,030"
