0,1,2,3,4
Name,Age5,Date of joining the Board®,End of Term,Position within ArcelorMittal5
Lakshmi N. Mittal,73,May 1997,May 2026,Executive Chairman of the Board of Directors
Aditya Mittal8,47,June 2020,May 2026,Director and Chief Executive Officer
Vanisha Mittal Bhatia7,43,December 2004,May 2025,Director
"Tye Burt2, 3, 4",66,May 2012,May 2024,Director
Michel Wurth3,69,May 2014,May 2026,Director
"Karyn Ovelmen 1, 2, 4",60,May 2015,May 2024,Lead Independent Director
"Karel de Gucht1, 4",69,May 2016,May 2025,Director
"Etienne Schneider1, 4",52,June 2020,May 2026,Director
"Clarissa Lins2, 3, 4",56,June 2021,May 2024,Director
"Patricia Barbizet1, 4",68,May 2023,May 2026,Director
