0,1,2,3,4,5
million €,Remaining term up to 1 year,Remaining term 1 to 2 years,Remaining term above 2 years,"Notional amount as of Sept. 30, 2022",Average hedging rate
Hedging of foreign currency risk,751,18,3,772,
thereof:,,,,,
Foreign currency contracts USD,696,12,3,711,USD1.11/€
Foreign currency contracts GBP,23,O 0,0,23,GBP0.87/€
Foreign currency contracts PLN,17,0,0,17,PLN4.90/€
Hedging of foreign currency risk,693,0,0,693,
thereof:,,,,,
CO2 forward contracts,554,0,0,554,€85.2/ton
Tin forward contracts,97,0,0,97,"€29,444/ton"
Iron ore forward contracts,43,0,0,43,€98.3/ton
