0,1,2,3,4,5,6,7,8,9,10,11
"SEGMENT INFORMATION FOR THE YEAR ENDED SEPT. 30, 2022",,,,,,,,,,,
million €,Materials Services,Bearings,Technologies Forged,Automotive Technology,Steel Europe,Marine Systems,Multi Tracks,"Headquarters
Corporate",Reconciliation,Elevator Technology1),Group
"Year ended Sept. 30, 2022",,,,,,,,,,,
External sales,"16,132","1,177","1,572","4,814","11,687","1,828","3,910",1,18,0,"41,140"
Internal sales within the group,313,1,16,10,"1,469",3,190,5,"(2,008)",0,0
Sales,"16,444","1,178","1,588","4,825","13,156","1,831","4,101",6,"(1,990)",0,"41,140"
Income from companies accounted for using the equity method,4,0,0,0,16,(6),(259),0,0,0,(245)
Aggregate investment in investees accounted for using the equity method,19,0,0,0,102,3,518,0,0,0,642
EBIT,970,120,130,53,887,24,(143),(193),(29),92,"1,827"
Adjusted EBIT,837,120,113,108,"1,200",32,(173),(154),(22),0,"2,062"
Average capital employed,"3,921","1,013",613,"2,603","5,636","1,218",300,(58),623,355,"16,224"
Depreciation expense,133,69,44,230,288,65,78,2,2,0,910
"Impairment losses of intangible assets, property, plant and equipment inclusive of investment property",0,1,0,56,403,0,48,0,5,0,513
"Reversals of impairment losses of intangible assets, property, plant and equipment inclusive of investment property",0,0,0,2,0,0,0,0,0,0,2
Significant non-cash items,(46),(14),(25),(1),(160),(71),(92),(3),65,(104),(450)
"Capital expenditures (intangible assets, property, plant and equipment inclusive of investment property)",101,115,37,230,630,123,59,1,1,0,"1,296"
