0,1,2,3,4,5,6,7
"RECONCILIATION IN ACCORDANCE WITH IAS 7 -YEAR ENDED SEPT. 30, 2023",,,,,,,
million €,"Sept. 30, 2022",Cash flows from financing activities1),"Non-cash changes Sept. 30, 2023",,,,
,,,Acquisitions/ divestitures of businesses,Currency differences,Fair value changes,Other changes,
Bonds,"3,094","(1,000)",0,0,0,4,"2,098"
Loan notes / other loans,122,38,1,0,0,(1),159
Liabilities to financial institutions,136,(65),0,19,0,0,90
Lease liabilities,629,(147),0,(15),0,211,678
Other financial liabilities,0,0,0,0,0,0,0
Subtotal financial debt,"3,981","(1,174)",1,4,0,214,"3,025"
Assets/liabilities from other financing activities,109,35,0,(8),(96),0,41
Total,"4,090","(1,139)",1,(4),(96),214,"3,066"
