0,1,2,3,4,5,6,7,8,9,10,11,12,13
COMPENSATION OF THE CURRENT MEMBERS OF THE EXECUTIVE BOARD AWARDED OR DUE IN,,,,,,,,,,,,,
FY 2022/2023,,,,,,,,,,,,,
,,Miguel Ángel López Borrego,,,,Oliver Burkhard,,,,Dr. Klaus Keysberg,,,
,,"Chairman of the Executive Board since June 1, 2023",,,,"Ordinary member of the Executive Board since February 1, 2013",,,,"Ordinary member of the Executive Board since October 1, 2019",,,
,,2021/2022,,2022/2023,,2021/2022,,2022/2023,,2021/2022,,,2022/2023
,,€000s,in %,€000s,in %,€000s,in %,€000s,in %,€000s,in %,€000s,in %
Performance-,Fixed compen- sation,–,–,447,48,700,30,700,40,700,49,700,36
independent compensation,Fringe benefits,,,,1,48,,,7,58,4,,
,,–,–,8,,,2,123,,,,57,3
,Pension allowance,–,–,179,19,–,–,–,–,280,20,280,14
Total,,–,–,633,68,748,32,823,47,"1,038",73,"1,037",53
One-year variable,STI 2021/2022,–,–,–,–,377,16,–,–,377,27,–,–
compensation,STI 2022/2023,–,–,298,32,–,–,486,28,–,–,486,25
Multiple-year,LTI 2018/2019,–,–,–,–,"1,230",52,–,–,–,–,–,–
"variable
compensation",LTI 2019/2020,–,–,–,–,–,–,448,26,–,–,448,23
Total,,"–
:unselected:",–,931,100,"2,355",100,"1,757",100,"1,415",100,"1,971",100
Other,,,,,,,,,,,,,
compensation,,:unselected:,,–,–,–,–,–,–,–,–,–,–
Total compensation in accordance with § 162 AktG,,–,–,931,100,"2,355",100,"1,757",100,"1,415",100,"1,971",100
Service costs1),,,,–,–,6,–,3,–,155,–,559,–
Total compensation,,,,,–,"2,361",–,,–,"1,570",–,,
incl. service costs1),,–,–,931,,,,"1,760",,,,"2,530",–
