0,1,2,3,4,5,6
CHANGE IN DEFINED BENEFIT OBLIGATIONS AND PLAN ASSETS,,,,,,
million €,"Sept. 30, 2022 Sept. 30, 2023",,,,,
,Germany,Other countries,Total,Germany,Other countries,Total
Change in defined benefit obligations (DBO):,,,,,,
DBO at beginning of fiscal year,"7,638","2,324","9,962","5,624","1,888","7,512"
Service cost,139,35,174,85,30,115
Interest expense,66,35,102,198,69,266
Remeasurement: Actuarial (gains)/losses from experience adjustments,179,28,208,107,4,111
Remeasurement: Actuarial (gains)/losses from changes in demographic assumptions,0,(3),(3),4,(17),(13)
Remeasurement: Actuarial (gains)/losses from changes in financial assumptions,"(1,991)",(582),"(2,573)",(265),(19),(284)
Past service cost (inclusive of curtailments),0,(24),(24),1,(1),0 00
Settlements,0,0,0,0,0,0
Currency differences,0,190,190,0,(47),(47)
Participant contributions,0,22,22,0,25,25
Benefit payments,(364),(118),(482),(373),(112),(485)
Settlement payments,0,0,0,0,(25),(25)
Acquisitions/divestitures of businesses,(45),(18),(63),0,0,0
Others,0,0,0,0,0,0
DBO at end of fiscal year,"5,624","1,888","7,512","5,381","1,794","7,174"
Change in plan assets:,,,,,,
Fair value of plan assets at beginning of fiscal year,242,"2,258","2,500",200,"1,884","2,084"
Interest income,2,36,38,7,70,78
Revaluation: Actuarial gains/(losses) on plan assets excluding amounts already recognized in interest income,(25),(514),(539),8,(44),(36)
Currency differences,0,171,171,0,(40),(40)
Employer contributions,6,28,34,7,32,39
Participant contributions,7,22,29,7,25,32
Benefit payments,(30),(113),(143),(32),(105),(137)
Settlement payments,0,0,0,0,(25),(25)
Acquisitions/divestitures of businesses,(3),0,(3),0,0,10 0
Administration cost,0,(4),(4),0,(3),(3)
Fair value of plan assets at end of fiscal year,200,"1,884","2,084",197,"1,795","1,992"
