0,1,2,3
,20234,20223,20213
Consultations carried out/offered (number),"14,567","14,914","15,507"
Occupational health preventive screening,"30,592","29,185","18,484"
Vaccinations and medical travel advice,"9,868","19,175","52,389"
Emergency medical treatments,"2,198","2,162","1,972"
"Diagnostic services (hearing/eye test, ECG etc.)","35,856","22,192","23,377"
Laboratory analyses,"15,559","10,685","17,986"
Reintegration of chronically ill employees,731,557,628
Check-ups for senior managers2,195,228,14
HealthCheck2,"5,892",338,75
