0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Economic activities,2023 Proportion Operating of operating Code1 expenditure2expenditure2,,,Climate change mitigation,Climate change adaptation,Water,"Circular economy
Criteria for a","Pollution
substantial","Biodiversity
contribution","DNSH criteria (""do no signifi- cant harm"")5",safeguards Minimum,2022 Proportion of Taxono- my-aligned (A.1) or Tax- onomy-eligi- ble (A.2) operating expenditure,Category: enabling activity,Category: transitional activity
,in millions of euros,,in %,Y; N; N/EL3,Y; N; N/EL3 Y; N; N/EL3 Y; N; N/EL3,,,Y; N; N/EL3 Y; N; N/EL3,,Y/N,Y/N,in %,E,T
A. TAXONOMY-ELIGIBLE ACTIVITIES,,,,,,,,,,:unselected:,:unselected:,,,
A.1 Environmentally sustainable activities (Taxonomy-aligned),,,,,,,,,,,:unselected:,,,
Manufacture of low-carbon technologies for transport,CCM 3.3,"2,336",32%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,"Y
:selected:",Y,35%,E,
Operating expenditure of environmentally sustainable activities (Taxonomy-aligned) (A.1),,"2,336",32%,100%,0%,0%,0%,0%,0%,Y,Y,35%,,
of which enabling activity,,"2,336",32%,100%,0%,0%,0%,0%,0%,Y,Y,35%,E,
of which transitional activity,,0,0%,0%,,,,,,,,0%,,T
A.2 Taxonomy-eligible activities that are not environmentally sus- tainable (not Taxonomy-aligned activities),,,,,,,,,,,,,,
,,,,EL; N/EL4,EL; N/EL4,EL; N/EL4,EL; N/EL4,EL; N/EL4,EL; N/EL4,,,,,
Manufacture of low-carbon technologies for transport,CCM 3.3,"4,970",68%,EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,65%,,
Operating expenditure of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities) (A.2),,"4,970",68%,100%,0%,0%,0%,0%,0%,,,65%,,
A. Operating expenditure of Taxonomy-eligible activities (A.1 + A.2),,"7,306",100%,100%,0%,0%,0%,0%,0%,,,100%,,
B. TAXONOMY NON-ELIGIBLE ACTIVITIES,,,,,,,,,,,,,,
Operating expenditure of Taxonomy non-eligible activities,,0,0%,,,,,,,,,0%,,
Total (A + B),,"7,306",100%,,,,,,,,,100%,,
