0,1,2
GRI 205-2,,
Expert Module - Data@Mercedes-Benz,Number of participants,"18,268"
,thereof employees,
,in administration worldwide:,"18,056"
,in management functions worldwide:,212
Expert Module - EU General Data Protection Regulation,Number of participants,"2,162"
,thereof employees,
,in administration worldwide:,"1,377"
,in management functions worldwide:,785
Expert Module - Insider Law,Number of participants,839
,thereof employees,
,in administration worldwide:,554
,in management functions worldwide:,285
Expert Module - Integrity & Compliance@Mobility Sales & Marketing,Number of participants,183
,thereof employees,
,in administration worldwide:,102
,in management functions worldwide:,81
Expert Module - Integrity & Compliance@Procurement,Number of participants,947
,thereof employees,
,in administration worldwide:,891
,in management functions worldwide:,56
Expert Module - Integrity & Compliance@Sales & Marketing,Number of participants,"4,205"
,thereof employees,
,in administration worldwide:,"4,004"
,in management functions worldwide:,201
Expert Module - Intellectual Property,Number of participants,"4,168"
,thereof employees,
,in administration worldwide:,"4,039"
,in management functions worldwide:,129
