0,1,2,3,4,5,6
GRI 305-1/-2/-3,,,,,,
,"20231,10",,202210,,202110,
Activities (Scope 3 category as per GHG Protocol),specific CO2 in t/van,absolute CO2 in million t,specific CO2 in t/van,absolute CO2 in million t,specific CO2 in t/van,absolute CO2 in million t
Purchased goods (3.1)2,8.5,3.8,8.7,3.6,8.6,3.4
Logistics3,0.88,0.39,0.9,0.4,0.9,0.4
Upstream logistics (3.4),0.49,0.22,-,,,-
Downstream logistics (3.9),0.38,0.17,,,,
Waste (3.5)4,0.07,0.03,,,-,
Business travel (3.6)5,0.008,0.004,0.008,0.003,0.007,0.003
Employee traffic (3.7)6,0.036,0.016,0.038,0.016,0.039,0.015
Use phase of our products - well-to-tank (3.11)7,4.6,2.1,4.7,2.0,4.9,1.9
Use phase of our products - tank-to-wheel (3.11)8,45.9,20.5,47.5,19.7,47.8,18.9
Dismantling and treatment process (3.12)9,0.5,0.2,0.5,0.2,0.5,0.2
"Scope 1, 2",,,,,,
Manufacture,0.3,0.1,0.3,0.1,0.5,0.2
Total,60.8,27.2,62.7,26.0,63.3,25.0
