0,1,2,3,4,5
GRI 306-3,,,,,
,20231,2022,2021,2020,2019
Waste (Cars),,,,,
Non-hazardous waste for disposal,1.5,2.0,3.1,6.0,11.6
Non-hazardous waste for recycling (excluding scrap),83.2,86.2,112.5,87.2,75.4
Scrap for recycling,285.2,315.5,357.0,377.2,346.1
Hazardous waste for disposal,2.0,4.0,3.5,4.9,2.1
Hazardous waste for recycling,29.3,30.9,37.8,35.0,32.0
Total production waste (Cars),401.2,438.7,513.9,510.2,467.2
thereof total waste for disposal (Cars),3.5,6.0,6.7,10.8,13.7
,,,,,
Waste (Vans),,,,,
Non-hazardous waste for disposal,1.7,3.1,4.5,5.3,7.0
Non-hazardous waste for recycling (excluding scrap),55.2,39.1,30.1,33.6,41.0
Scrap for recycling,27.3,26.3,27.9,33.8,39.7
Hazardous waste for disposal,7.4,8.3,11.0,10.7,11.5
Hazardous waste for recycling,11.8,12.3,12.2,12.2,12.3
Total production waste (Vans),103.3,89.2,85.8,95.8,111.5
thereof total waste for disposal (Vans),9.1,11.4,15.6,16.1,18.5
