0,1,2,3,4
Standard,Disclosure,Reference,Additional information and reasons,External audit*
305-2,Energy indirect (Scope 2) GHG emissions,"7 SR . Climate protection . CO2 emissions along the entire value chain
:selected:",,"partially, key figures"
,,"71 SR . Climate protection . Calculation and documentation of CO2 emissions 7 SR . Climate protection . Calculation of CO2 emissions 71 SR . Climate protection . Key figures CO2 emissions from energy consumption (in 1,000 t) 7 SR . Climate protection . Key figures CO2 emissions Scope 1, Scope 2 and selected Scope 3 categories worldwide for Mercedes-Benz Cars 7 SR . Climate protection . Key figures CO2 emissions Scope 1, Scope 2 and selected Scope 3 categories worldwide for Mercedes-Benz Vans
:selected: :selected: :selected: :selected: :selected:",,
305-3,Other indirect (Scope 3) GHG emissions,"71 SR . Climate protection . CO2 emissions along the
:selected:",305-3 a) + c): Die CO2-Emissionen (Scope 3) werden gemäß Greenhouse Gas Protocol bilanziert und ausgewiesen. Im Abschnitt „Berechnung und Dokumentation der CO2-Emis- sionen“ werden der Bilanzierungsansatz sowie die getroffenen Annahmen und Bilanzgren- zen erläutert. Weitere Treibhausgase (Scope 3) sowie die separate Darstellung der bioge- nen CO2-Emissionen (Scope 3) werden im Berichtsjahr aufgrund geringen Umfangs sowie zur Sicherstellung der Komparabilität nicht ausgewiesen.,"partially, key figures"
,,entire value chain,,
,,"71 SR > Climate protection . Calculation and documentation of CO2 emissions 71 SR . Climate protection . Calculation of CO2 emissions 7 SR . Climate protection . Key figures CO2 emissions Scope 1, Scope 2 and selected Scope 3 categories worldwide for Mercedes-Benz Cars
:selected: :selected: :selected:",,
,,"7 SR . Climate protection . Key figures CO2 emissions Scope 1, Scope 2 and selected Scope 3 categories worldwide for Mercedes-Benz Vans
:selected:",,
305-4,GHG emissions intensity,"7] SR . Climate protection . Calculation of CO2 emissions
:selected:",,no
305-5,Reduction of GHG emissions,"7 SR . Climate protection . Development of CO2 emissions in Europe
:selected:",,no
,,"7 SR . Climate protection . Reduction of production-related CO2 emissions
:selected:",,
305-6,Emissions of ozonedepleting substances (ODS),,"The legal regulations concerning the emission of ozone-depleting substances are com- plied with at all Mercedes-Benz Group production sites. However, the Group cannot rule out the possibility of very low levels of ozone-depleting emissions. These are within the legally permissible limits and are not recorded separately by the Group.",no
305-7,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions","71 SR . Air quality . Key figures Air emissions in production (in t)
:selected:","Depending on the production processes, the production sites of the Mercedes-Benz Group record the parameters NOx, SO2, particulate matter and VOC emissions in kg. How- ever, no data is collected at the sites on organic substances with a low biodegradation rate.",no
