0,1,2,3,4,5,6
GRI 305-1/-2/-3,,,,,,
,"20231,10",,202210,,202110,
Activities (Scope 3 category as per GHG Protocol),specific CO2 in t/car,absolute CO2 in million t,specific CO2 in t/car,absolute CO2 in million t,specific CO2 in t/car,absolute CO2 in million t
Purchased goods (3.1)2,9.0,18.0,8.7,17.7,8.4,17
Logistics3,1.0,2.0,1.1,2.2,1.1,2.2
Upstream logistics (3.4),0.35,0.7,-,,,
Downstream logistics (3.9),0.65,1.3,-,,-,
Waste (3.5)4,0.1,0.2,,,-,
Business travel (3.6)5,0.03,0.07,0.028,0.057,0.009,0.019
Employee traffic (3.7)6,0.05,0.11,0.052,0.107,0.053,0.107
Use phase of our products - well-to-tank (3.11)7,6.6,13.1,6.6,13.6,6.3,12.7
Use phase of our products - tank-to-wheel (3.11)8,29.1,58.2,30.7,62.7,32.2,65.5
Dismantling and treatment process (3.12)9,0.4,0.8,0.4,0.8,0.4,0.8
"Scope 1, 2",,,,,,
Manufacture,0.3,0.4,0.3,0.4,0.7,0.7
Total,46.5,93.0,47.9,97.8,49.1,99.2
