0,1,2
2-9,Governance structure and composition,Form 10-K
2-10,Nomination and selection of the highest governance body,Form 10-K
2-11,Chair of the highest governance body,Form 10-K
2-13,Delegation of responsibility for managing impacts,See page 49
2-14,Role of the highest governance body in sustainability reporting,See page 49
2-15,Conflicts of interest,Novelis Code of Conduct Form 10-K Ethics & Compliance
2-16,Communication of critical concerns,Sustainability Governance
2-17,Collective knowledge of the highest governance body,Sustainability Governance
2-18,Evaluation of the performance of the highest governance body,Sustainability Governance
2-19,Remuneration policies,Form 10-K/A
2-20,Process to determine remuneration,Form 10-K/A
"4. Strategies, policies, and practices",,
2-22,Statement on sustainable development strategy,See page 11
2-23,Policy commitments,The precautionary principle does not explicitly guide decisions made by Novelis. Novelis' Code of Conduct and ethics and other corporate governance documents are available online at https:www.novelis.com/certifications
2-24,Embedding policy commitments,Code of Conduct
2-25,Processes to remediate negative impacts,Code of Conduct
