0,1,2,3,4,5,6
Europe,,,,,,
Bresso,"246,530",,"6,203",,"252,733.00",2.44
D.C. Italy,,,,"1,270",,
Göttingen,-,-,"- 137,419",,"137,419.00",0.44
Koblenz,"459,742",,"34,715",,"494,457.00",0.42
Latchford,-,-,"- 99,442",,"99,442.00",0.39
Nachterstedt RC,,,,"172,768","172,768.00",0.31
Nachterstedt RO,-,-,-,"135,386","135,386.00",0.15
Norf,"651,599",-,"- 29,169",,"680,768.00",0.27
Ohle,339,-,"341,781 42,847",,"384,967.00",1.85
Pieve,"112,386",,"12,050",,"124,436.00",0.74
Sierre,"1,121,930",,"11,856",,"1,133,786.00",1.20
Voerde,"160,896",,"1,568",,"162,464.00",1.53
