0,1,2
GRI 2: General Disclosures 2021,,
Disclosure # Title,,Information/Location in Report
1. The organization and its reporting practices,,
2-1,Organizational details,"Novelis Inc. 3550 Peachtree Rd NE, Suite 1100 Atlanta, GA, 30326, USA Form 10-K"
2-2,Entities included in the organization's sustainability reporting,"The data presented in this report represents all Novelis operations, including directly and indirectly owned subsidiaries and joint ventures, unless explicitly noted otherwise. See Annual Report on Form 10-K for the fiscal year ended March 31, 2023."
2-3,"Reporting period, frequency and contact point","Reporting period: 1 April 2022 - 31 March 2023 Reporting frequency: Annual Date of report publication: September 19, 2023"
,,"Point of contact: Suzanne Lindsay-Walker, suzanne.lindsay-walker@novelis.adityabirla.com"
2-4,Restatements of information,EDFC
2-5,External assurance,Novelis engaged a third party to provide limited assurance over certain greenhouse gas emissions metrics. Find more details in the 'Third-Party Limited Assurance' section of this Appendix.
2. Activities and workers,,
2-6,"Activities, value chain and other business relationships",https:www.novelis.com/about-us
,,Form 10-K
2-7,Employees,Form 10-K
