0,1,2,3,4
Categories,Year,Women,Men,Total of nationalities by category
Blue collars,2023,85,133,137
,2022,82,134,138
,2021,81,130,134
White collars,2023,85,122,132
,2022,92,127,135
,2021,100,143,149
Top Management,2023,18,29,33
,2022,19,30,35
,2021,NA,NA,NA
Total nationalities by gender,2023,113,153,160
,2022,117,155,162
,2021,124,163,170
Number of managers with the nationality of the host country,2023,"11,728","40,733","52,461"
,2022,"8,130","30,251","38,381"
% of managers with the nationality of the host country,2023,94%,96%,95%
,2022,70%,72%,72%
