0,1
5.1 ETHICS IN GOVERNANCE AND BUSINESS PRACTICES,176
5.1.1 Context and Stellantis position,176
5.1.2 Forward-looking vision and targets,177
5.1.3 Identification and management of risks and opportunities,177
5.1.4 Governance and decision bodies to lead actions,179
5.1.5 Policies for ethics in our business,182
5.1.6 Allocated resources to Achieve Our Ethical Objectives,184
5.1.7 Initiatives and Achievements in the pursuit of Ethical Excellence,185
5.1.8 Detailed key performance indicators,189
5.2 RESPONSIBLE MANAGEMENT OF PERSONAL INFORMATION,191
5.2.1 Context and Stellantis position,191
5.2.2 Forward-looking vision and targets,192
5.2.3 Identification and management of risks and opportunities,192
5.2.4 Governance and decision bodies to lead actions,193
5.2.5 Policies to execute the strategy,193
5.2.6 Organization and resources,193
"5.2.7 Main initiatives, achievements and results",194
5.3 RESPONSIBLE INFORMATION TO CUSTOMERS,19!
5.3.1 Context and Stellantis position,195
5.3.2 Forward-looking vision and targets,195
5.3.3 Identification and management of risks and opportunities,196
5.3.4 Governance and decision bodies to lead actions,196
5.3.5 Policies to execute the strategy,196
5.3.6 Organization and resources,197
"5.3.7 Main initiatives, achievements and results",198
