0,1,2,3,4,5,6,7,8,9,10
,Climate Change,Diversity & Human Rights,Risk Management,Cyber security,New Business Model,Industry6,Corporate Social Responsibility,Governance,Financial and Accounting,Board memberships
John Elkann,,"V
:selected:",,,"V
:selected:","V
:selected:","V
:selected:","V
:selected:","V
:selected:",3
Carlos Tavares,:selected:,"V
:selected:","1
:selected:",:unselected:,"V
:selected:","1
:selected:",:selected:,"V
:selected:","V
:selected:",1
Robert Peugeot,:unselected:,,"V
:selected:",,"V
:selected:","V
:selected:","V
:selected:","1
:selected:","V
:selected:",4
Henri de Castries,"v
:selected:","V
:selected:","V
:selected:",,,,"V
:selected:","V
:selected:","V
:selected:",4
Benoît Ribadeau- Dumas,,,"1
:selected:",,,,,"1
:selected:",,5
Fiona Clare Cicconi,:unselected:,"V
:selected:","V
:selected:",,:unselected:,:unselected:,"V
:selected:","V
:selected:",:unselected:,-
Nicolas Dufourcq,:selected:,"V
:selected:",:unselected:,,"V
:selected:","V
:selected:",:unselected:,"V
:selected:","V
:selected:",4
Ann Frances Godbehere,"V
:selected:",:unselected:,"V
:selected:",,,,"V
:selected:",:selected:,"V
:selected:",1
Wan Ling Martello,:unselected:,"V
:selected:","1
:selected:",,"V
:selected:",,:unselected:,,"V
:selected:",3
Jacques de Saint-Exupéry,:unselected:,,,,,,,,"1
:selected:",-
Kevin Scott,"V
:selected:","V
:selected:",:unselected:,"V
:selected:",,,">
:selected:",,,-
