0,1,2,3,4,5
Geographical area,Plant,Plant activity,Year,Surface occupied [m2],Type of natural protected area
Enlarged Europe,Aspern (Austria),Powertrain Plant,2023,"191,166",IUCN Category IV Habitat/ Species Management Area
,,,2022,"191,166",
,,,2021,"191,166",
,Atessa (Italy),Car Plant,2023,"1,001,930",Natura 2000
,,,2022,"1,001,930",
,,,2021,"1,001,930",
,Bielsko Biala (Poland),Powertrain Plant,2023,"122,715",Natura 2000
,,,2022,"122,715",
,,,2021,"89,500",
,Charleville (France),Foundry,2023,"196,010",Natural Protected Area according to State or Federal legislation
,,,2022,"195,078",
,,,2021,"195,078",
,Eisenach (Germany),Car Plant,2023,"261,859",Natura 2000
,,,2022,"261,859",
,,,2021,"261,859",
,Ellesmere Port (UK),Car Plant,2023,"665,819","Natura 2000, Natural Protected Area according to State or Federal legislation, RAMSAR Site (Convention on Wetlands)"
,,,2022,"665,819",
,,,2021,"816,298",
,Gliwice (Poland),Car Plant,2023,"444,668",IUCN Category IV Habitat/ Species Management Area
,,,2022,"327,287",
,,,2021,"327,287",
,Grugliasco Avvocato Giovanni Agnelli Plant (Italy),Component Plant,2023,"106,250",Natural Protected Area according to State or Federal legislation
,,,2022,"106,250",
,,,2021,"184,000",
