0,1,2,3,4,5,6
Plastics,,,,,20.2%,
,,,,,,23.4%
,,,,,19.1%,
,,,,,,
,,,,,19.5%,
Electronics,,,,,17.1%,
,,,,,18.3%,
,,,,,18.0%,
Steel,,,,,18.7%,
,,,,,18.5%,
,,,,12.0%,,
Copper,,,9.0%,,,
,,,,11.5%,,
"Cobalt, Lithium",,,,10.9%,,
,,,8.7%,,,
,,5.8%,,,,
,5.6%,,,,,
Aluminum,,6.2%,,,,
,,,8.7%,,,
,5.6%,,,,,
Rubber,,5.2%,,,,
,,5.4%,,,,
,2.6%,,,,,
PGM*,4.4%,,,,,
,6.6%,,,,,
,1.8%,,,,,
"Paint and
Coatings",2.9%,,,,,
,2.3%,,,,,
,1.7%,,,,,
Rare Earths,2.1%,,,,,
,1.7%,,,,,
,1.5%,,,,,
Glasses,1.7%,,,,,
,1.8%,,,,,
,0.4%,,,,,
Lead,:unselected: 0.5%,,,,,
,:unselected: 0.4%,,,,,
