0,1,2
Core subjects and issues / challenges,,Relevant sections of this CSR Report
Core subject,Organizational governance,1.3 / 2.4 / 3.1.4 / 3.2.4 /3.3.4 / 3.4.4 / 4.1.4 / 4.2.4 / 4.3.4 / 5.1.4 / 5.2.4 / 5.3.4 / 6.1.4 / 6.2.4 / 6.3.1 / 7.1.4 / 7.2.1.2 / 7.2.2.4 / 7.3.4
Core subject,Human rights,7.2.1 / 7.2.2 / 7.2.3
Stake 1,Due diligence,3.1.5 / 5.1.7 / 6.1.3 / 7.1.1 / 7.1.3 / 7.1.4 / 7.1.5 / 7.1.7.3 / 7.1.8.1 / 7.2.1 / 7.2.2 / 7.2.3 / Vigilance Plan
Stake 2,Human rights risk situations,3.1.5 / 7.2.1.1 / 7.2.2.3 / 7.2.3 / Vigilance Plan
Stake 3,Avoidance of complicity,5.1.4 / 5.1.5 / 5.1.7 / 7.1.5 / 7.1.6 / 7.1.7 / 7.1.8/ 7.2.2.4 / 7.2.2.5 / 7.2.2.6 / 7.2.2.7 / 7.2.3 / Vigilance Plan
Stake 4,Resolving grievances,3.1.7
Stake 5,Discrimination and vulnerable groups,7.1.5 / 7.1.7 / 7.1.8 / 7.2.2.7
Stake 6,Civil and political rights,3.1.4 / 3.1.5 / 3.1.7 / 3.3.5 / 3.3.7 / 3.3.8 / 5.1.5.1
Stake 7,"Economic, social and cultural rights",3.3 / 7
Stake 8,Fundamental principles and rights at work,3.1.4 / 3.1.5 / 3.4.6 / 3.4.7 / 5.1.5.1 / 7.1 / 7.2
Core subject,Labor practices,3
Stake 9,Employment and employment relationships,3
Stake 10,Conditions of work and social protection,3.2.8 / 3.3.7 / 3.4.8
Stake 11,Social dialogue,1.1.4 / 1.2.1 / 1.2.4 / 2.4 / 3.1 / 3.3.5 / 3.4.7
Stake 12,Health and safety at work,3.4 / 6.1.4 / 7.1.5 / 7.2.2.7 / Vigilance Plan
Stake 13,Human development and training in the workplace,1.2.4 / 2.7.3 / 3.1.5 / 3.1.6 / 3.1.7 / 3.2/ 3.3 /3.4.6 /3.4.7 /4.2.6 /4.3.7 / 5.1.7 / 5.3.6 / 6.3.3.2
Core subject,The environment,2/ 6
Stake 14,Prevention of pollution,2 / 6 /7.1/7.2
Stake 15,Sustainable resource use,2.6 / 6.1 / 6.4 / 6.6
Stake 16,Climate change mitigation and adaptation,2
Stake 17,"Protection of the environment, biodiversity and restoration of natural habitats",6.7
