0,1
1.1 VALUE CREATION MODEL,9
1.1.1 Business Model,9
1.1.2 Key Figures,14
1.1.3 Stakeholder dialogue for a better mutual understanding with society,15
1.1.4 Shared value for stakeholders,15
1.2 MATERIAL CSR RISKS AND OPPORTUNITIES INHERENT TO THE VALUE CREATION MODEL,19
1.2.1 CSR macro-risks and related CSR issues: Stellantis CSR pillars and challenges,19
1.2.2 Stellantis materiality matrix: relative position of the 22 CSR challenges,19
1.2.3 Extensive assessment of risks,21
1.2.4 CSR trajectory,23
1.3 CSR GOVERNANCE,28
1.3.1 CSR policy,28
1.3.2 CSR in the Board of Directors,28
1.3.3 CSR embedded into business: at the Executive and Operational levels,29
