0,1,2,3,4,5,6,7,8,9,10,11
,Year,Women,,,Men,,,Total,,,Total of turnovers by geographic area
,,Up to 30 years old,31 to 50 years old,Over 50 years old,Up to 30 years old,31 to 50 years old,Over 50 years old,Up to 30 years old,31 to 50 years old,Over 50 years old,
Enlarged Europe,2023,19%,7%,5%,17%,4%,4%,17%,5%,4%,5%
,2022,17%,5%,4%,15%,4%,5%,16%,4%,4%,5%
North America,2023,13%,10%,14%,21%,9%,14%,19%,9%,14%,12%
,2022,15%,8%,7%,14%,7%,8%,15%,8%,8%,9%
South America,2023,29%,22%,15%,22%,12%,10%,24%,14%,10%,15%
,2022,30%,20%,14%,24%,13%,11%,25%,14%,11%,16%
Middle East & Africa,2023,21%,17%,19%,17%,14%,9%,18%,15%,11%,16%
,2022,23%,14%,13%,28%,14%,11%,26%,14%,11%,18%
China and India & Asia Pacific,2023,19%,15%,18%,31%,13%,17%,28%,13%,17%,16%
,2022,41%,26%,25%,39%,21%,16%,40%,22%,17%,24%
Total of turnover by gender and age,2023,19%,10%,9%,20%,7%,7%,20%,8%,7%,8.8%
,2022,20%,8%,5%,18%,7%,6%,18%,7%,6%,7.7%
,2021,,,,,,,,,,7.4%
