0,1,2,3,4,5,6,7,8,9,10,11
,Year,Women,,,Men,,,Total,,,Total of turnover
,,White collars,Blue collars,Top Management,White collars,Blue collars,Top Management,White collars,Blue collars,Top Management,"by geographic
area"
Enlarged Europe,2023,8%,5%,5%,5%,4%,7%,6%,4%,7%,5%
,2022,6%,4%,NA,6%,4%,NA,6%,4%,NA,5%
North America,2023,12%,12%,11%,10%,13%,10%,10%,13%,10%,12%
,2022,10%,8%,NA,10%,8%,NA,10%,8%,NA,9%
South America,2023,17%,28%,-%,13%,14%,3%,14%,16%,3%,15%
,2022,13%,30%,NA,10%,17%,NA,11%,18%,NA,16%
Middle East & Africa,2023,19%,19%,-%,18%,13%,10%,18%,14%,9%,16%
,2022,20%,9%,NA,19%,17%,NA,20%,16%,NA,18%
China and India & Asia Pacific,2023,16%,120%,-%,14%,34%,24%,14%,35%,19%,16%
,2022,28%,100%,NA,23%,12%,NA,25%,13%,NA,24%
Total turnover by gender and category,2023,10%,11%,7%,8%,9%,8%,8%,9%,8%,8.8%
,2022,9%,9%,NA,8%,7%,NA,8%,7%,NA,7.7%
,2021,,,,,,,,,,7.4%
