0,1,2,3,4,5,6,7,8
Country,Year,Number of work council or employee body,Country,Year,Number of work council or employee body,Country,Year,Number of work council or employee body
Algeria,2023,-,,2023,24,Poland,2023,11
,2022,1,Germany,2022,38,,2022,6
,2021,2,,2021,15,,2021,4
Argentina,2023,-,Hungary,2023,4,Portugal,2023,5
,2022,2,,2022,4,,2022,11
,2021,2,,2021,1,,2021,3
Austria,2023,6,,2023,-,Russia,2023,-
,2022,7,India,2022,-,,2022,-
,2021,8,,2021,2,,2021,1
Belgium,2023,4,,2023,75,Serbia,2023,2
,2022,9,Italy,2022,103,,2022,1
,2021,4,,2021,65,,2021,1
Brazil,2023,1,Japan,2023,1,Slovakia,2023,3
,2022,7,,2022,1,,2022,5
,2021,9,,2021,,,2021,2
Canada,2023,11,,2023,-,Spain,2023,106
,2022,11,Malaysia,2022,1,,2022,70
,2021,14,,2021,1,,2021,16
Chile,2023,2,Mexico,2023,-,Turkey,2023,1
,2022,2,,2022,2,,2022,1
,2021,,,2021,7,,2021,
China,2023,15,,2023,20,United Kingdom,2023,12
,2022,16,Morocco,2022,5,,2022,47
,2021,,,2021,4,,2021,42
France,2023,34,,2023,10,United States,2023,84
,2022,35,Nether- lands,2022,2,,2022,84
,2021,46,,2021,2,,2021,39
,,,,,,,2023,431
,,,,,,Total,2022,471
