0,1,2,3,4,5,6,7,8,9
,Year,Women,,,,Men,,,
,,Blue collars,White collars,Top Management,Total,Blue collars,White collars Top Management,Total,Total
Enlarged Europe,2023,"4,923","12,203",180,"17,306","27,444","35,310 690","63,444","80,750"
,2022,"4,976","11,179",148,"16,303","28,021","37,763 476","66,260","82,563"
,2021,"8,919","11,647",NA,"20,566","49,986","40,340 NA","90,326","110,892"
North America,2023,12,"3,569",73,"3,654",15,"13,869 230","14,114","17,768"
,2022,164,"3,689",72,"3,925","8,921","14,303 231","23,455","27,380"
,2021,772,"4,471",NA,"5,243","3,391","18,367 NA","21,758","27,001"
South America,2023,943,"1,806",44,"2,793","7,284","4,805 145","12,234","15,027"
,2022,949,"1,820",5,"2,774","6,499","5,198 34","11,731","14,505"
,2021,168,"2,485",NA,"2,653",970,"5,953 NA","6,923","9,576"
Middle East & Africa,2023,-,608,12,620,3,"1,168 31","1,202","1,822"
,2022,-,638,1,639,-,"1,203 10","1,213","1,852"
,2021,24,677,NA,701,259,"1,257 NA","1,516","2,217"
China and India & Asia Pacific,2023,-,989,6,995,107,"2,932 18","3,057","4,052"
,2022,-,917,3,920,114,"2,448 15","2,577","3,497"
,2021,33,875,NA,908,364,"2,832 NA","3,196","4,104"
Total,2023,"5,878","19,175",315,"25,368","34,853","58,084 1,114","94,051","119,419"
,2022,"6,089","18,243",229,"24,561","43,555","60,915 766","105,236","129,797"
,2021,"9,916","20,155",NA,"30,071","54,970","68,749 NA","123,719","153,790"
