0,1,2,3
Areas,Principles,GRI codes,Section number(s) and/or URL(s)
3. The environment,8. Business should undertake initiatives to promote greater environmental,301-1,6.1.8
,responsibility,301-2,6.1.7.2
,,301-3,2.7.1 / 2.7.3.3 / 6.1.5 / 6.1.7 / 6.4.4
,,302-1,2.6.3.1 / 2.6.4.2
,,302-2,2.3 / 2.7.3 / 2.7.4
,,302-3,2.6.4.1
,,302-4,2.6.3.3 / 2.6.3.4
,,302-5,2.5.3 / 2.5.3.2.3 / 2.5.3.2.4 / 2.5.3.3 / 2.5.3.4
,,303-1,6.6.4.1 / 6.6.5
,,303-2,6.6.4.1
,,303-3,6.6.1 / 6.6.4.1 / 6.6.4.2 / 6.6.5
,,304-1,6.7.5.1
,,304-2,6.7.4 / 6.7.5
,,304-3,6.7.4.1 / 6.7.5
,,305-1,2.6.3.1 / 2.6.4.1
,,305-2,2.6.3.1 / 2.6.4.1
,,305-3,2.5./ 2.7
,,305-4,2.6.3.1 / 2.7.3 / 2.7.4
,,305-5,2.6.3.2 /2.7.3.2
,,305-6,6.5.4.1 / 6.5.5
,,305-7,6.5.4.1 / 6.5.5
,,306-1,6.4.1 / 6.4.3
,,306-2,6.1.7 / 6.4.4
,,306-3,6.4.5
,,306-4,6.4.4.2.1 / 6.4.4.2.2 / 6.4.5
,,306-5,6.4.4.1 / 6.4.5
,,2-27,Legal proceedings section of the Annual Report 20 :unselected:
,,308-1,7.1.7.3
,,308-2,2.7.3.2 / 7.1.8.1
3. The environment,9. Business should encourage the development and diffusion of environmentally,302-4,2.6.3.3 / 2.6.3.4
,friendly technologies,302-5,2.5.3 / 2.5.3.2.3 / 2.5.3.2.4 / 2.5.3.3 / 2.5.3.4
,,305-5,2.5.4 / 2.7
4. Anti-corruption,"10. Businesses should work against corruption in all its forms, including extortion and bribery",2-23,1.3 / 2.4.2
,,2-26,5.1.5
,,205-2,3.2.6 / 5.1.4.1 / 7.1.5
,,205-3,3.1.7
,,413-2,6.3 / 6.5 / 6.6Vigilance Plan
,,415-1,5.1.4.2
