0,1,2
Standards,Disclosure,Reference
"4. Strategy, policies and practices",,
2-22,Statement on sustainable development strategy,"Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.3 Sustainability Strategy
:unselected:
:unselected:"
2-23,Policy commitments,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.2 Our Objective, our Mission, our Vision
:unselected: :unselected:"
2-24,Embedding policy commitments,"- Chapter 4 - Decarbonisation & Sustainability - 4.6 Responsible Sourcing - Key Figures - Economics & Governance - Ethics
:unselected:"
2-25,Processes to remediate negative impacts,"- Chapter 3 - Environment & Community - 3.1 Roadmap Plus - 3.3 Investigating our Impact
:unselected: :unselected:
:unselected:"
2-26,Mechanisms for seeking advice and raising concerns,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.4 Stakeholder Dialogue - Chapter 3 - Environment & Community - 3.1 Roadmap Plus - 3.3 Investigating our Impact - 3.4 Sustainable Relationship with the Community
:unselected: :unselected:
:unselected: :unselected:
:unselected: :unselected:"
2-27,Compliance with laws and regulations,- Key Figures - Economics & Governance - Legal
2-28,Membership associations,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.4 Stakeholder Dialogue
:unselected:"
5. Stakeholder engagement,,
2-29,Approach to stakeholder engagement,"Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.4 Stakeholder Dialogue
:unselected:"
2-30,Collective bargaining agreements,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.4 Stakeholder Dialogue ·Key Figures - Social - Human Resources Management
:unselected:
:unselected:
:unselected:"
GRI 3: Material topics,,
3-1,Process to determine material topics,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.3 Sustainability Strategy
:unselected:"
3-2,List of material topics,"- Chapter 1 - Tata Steel Nederland, Priorities and Governance - 1.3 Sustainability Strategy
:unselected:
:unselected:"
