0,1,2,3,4,5,6,7,8,9,10,11
"SEGMENT INFORMATION FOR THE YEAR ENDED SEPT. 30, 2023",,,,,,,,,,,
million €,Materials Services,Bearings,Technologies Forged,Automotive Technology,Steel Europe,Marine Systems,Multi Tracks,"Headquarters
Corporate",Reconciliation,Elevator Technology1),Group
"Year ended Sept. 30, 2023",,,,,,,,,,,
External sales,"13,335","1,146","1,588","5,474","11,025","1,840","3,110",1,17,0,"37,536"
Internal sales within the group,278,2,10,6,"1,351",(1),56,6,"(1,708)",0,0
Sales,"13,613","1,149","1,598","5,479","12,375","1,839","3,167",7,"(1,691)",0,"37,536"
Income from companies accounted for using the equity method,(5),0,0,0,29,2,(63),0,0,0,(38)
Aggregate investment in investees accounted for using the equity method,13,0,0,0,102,5,261,0,1,0,382
EBIT,204,106,102,146,"(1,694)",77,(160),(182),(30),0,"(1,431)"
Adjusted EBIT,178,101,102,223,320,80,(132),(169),0,0,703
Average capital employed,"3,668","1,009",639,"2,635","5,413","1,042",405,(62),666,0,"15,415"
Depreciation expense,132,76,47,231,270,63,57,2,22,0,900
"Impairment losses of intangible assets, property, plant and equipment inclusive of investment property",1,0,0,72,"2,111",1,15,0,23,0,"2,222"
"Reversals of impairment losses of intangible assets, property, plant and equipment inclusive of investment property",3,9,0,1,0,0,0,0,0,0,13
Significant non-cash items,(24),(25),(36),(74),(200),(45),(102),(21),(11),0,(537)
"Capital expenditures (intangible assets, property, plant and equipment inclusive of investment property)",145,75,42,262,"1,065",124,52,0,(8),0,"1,757"
