0,1,2
DEVELOPMENT OF DEFERRED TAX ASSETS (+) AND LIABILITIES ON A NET BASIS,,
million €,"Year ended Sept. 30, 2022","Year ended Sept. 30, 2023"
Opening balance,412,679
Deferred tax benefit (+)/expense (-),200,(146)
Income non-effective tax effect on other comprehensive income,,
Remeasurement of pensions and others,35,(60)
Fair value measurement of equity instruments,0,0
Fair value measurement of debt instruments,0,(2)
Impairment of financial instruments,(8),20
Cash flow hedges,(18),19
Currency differences,55,(35)
Acquisitions/divestitures of businesses,4,
Income tax effects (charged)/credited directly to equity,10 0,4
Closing balance,679,479
