0,1,2,3,4,5,6,7,8
ORDER INTAKE,,,,,,,,
million €,Year ended,Year ended,Change in %,Change on a comparable basis1) in %,"4th quarter ended Sept. 30, 2022","4th quarter ended Sept. 30, 2023",Change in %,Change on a comparable basis1) in %
,"Sept. 30, 2022","Sept. 30, 2023",,,,,,
Materials Services,"16,021","13,684",(15),(15),"3,671","3,163",(14),(12)
Bearings2),"1,240","1,151",(7),(5),324,283,(13),(9)
Forged Technologies2),"1,552","1,607",4,2,440,277,(37),(34)
Automotive Technology,"4,866","5,428",12,12,"1,468","1,315",(10),(6)
Steel Europe,"11,811","12,189",3,3,"2,844","2,243",(21),(20)
Marine Systems,"4,232",959,(77),(77),320,572,78,78
Multi Tracks2),"6,499","3,735",(43),(16),"1,724",756,(56),(44)
Corporate Headquarters,4,6,63,60,(1),0,22,54
Reconciliation,"(1,927)","(1,700)",12,—,(400),(303),24,—
Group continuing operations2),"44,297","37,060",(16),(13),"10,391","8,305",(20),(16)
Discontinued elevator operations2),0,0,,,0,0,—,—
Full group,"44,297","37,060",(16),(13),"10,391","8,305",(20),(16)
