0,1,2,3,4,5,6,7,8,9,10,11,12,13
COMPENSATION OF THE FORMER MEMBERS OF THE EXECUTIVE BOARD AWARDED OR DUE IN,,,,,,,,,,,,,
FY 2022/2023 (1/2),,,,,,,,,,,,,
,,Martina Merz,,,,Johannes Dietsch,,,,Dr. Donatus Kaufmann,,,
,,"Chairwoman of the Executive Board October 1, 2019 - May 31, 2023",,,,"Ordinary member of the Executive Board Feb. 1, 2019 - March 31, 2020",,,,"Ordinary member of the Executive Board Feb. 1, 2014 - Sept. 30, 2019",,,
,,2021/2022,,2022/2023,,2021/2022,,2022/2023,,2021/2022,,2022/2023,
,,€000s,in %,€000s,in %,€000s,in %,€000s,in %,€000s,in %,€000s,in %
Performance- independent,Fixed,,,,,,,,,,,,
,compensation,"1,340",52,"1,005",34,–,–,–,–,–,–,–,–
,Fringe benefits,24,1,18,1,–,–,–,–,–,–,–,–
compensation,Pension allowance,536,21,402,14,–,–,–,–,–,–,–,–
Total,,"1,900",73,"1,425",48,–,–,–,–,–,–,–,–
One-year,STI 2021/2022,693,27,–,–,–,–,–,–,–,–,–,–
"variable
compensation",STI 2022/2023,–,–,670,23,–,–,–,–,–,–,–,–
Multiple-year,LTI 2018/2019,–,–,–,–,820,100,–,–,"1,113",100,–,–
"variable
compensation",LTI 2019/2020,–,–,853,29,–,–,224,40,–,–,–,–
Total,,"2,593",100,"2,948",100,820,100,224,40,"1,113",100,–,–
Other compensation,Pension payments,–,–,–,–,–,–,–,–,–,–,–,–
,Payout pension capital1),–,–,–,–,–,–,333,60,–,–,"1,846",100
,Payout DC2),,,–,–,–,–,–,–,–,–,–,–
Total compensation in,,,100,"2,948",100,820,100,557,100,"1,113",100,,
accordance with § 162 AktG,,"2,593",,,,,,,,,,"1,846",100
Service costs3),,–,–,–,–,–,–,,–,–,–,,–
Total compensation,,,,,,,,,,,,,
incl. service costs3),,"2,593",–,"2,948",–,820,–,557,–,"1,113",–,"1,846",–
