0,1,2,3,4,5,6,7
MATERIALS SERVICES IN FIGURES,,,,,,,
,,"Year ended Sept. 30, 2022","Sept. 30, 2023 Year ended",Change in %,"4th quarter ended
Sept. 30, 2022","4th quarter ended
Sept. 30, 2023",Change in %
Order intake,million €,"16,021","13,684",(15),"3,671","3,163",(14)
Sales,million €,"16,444","13,613",(17),"3,916","3,124",(20)
EBITDA,million €,"1,102",333,(70),62,41,(34)
EBIT,million €,970,204,(79),27,12,(56)
Adjusted EBIT,million €,837,178,(79),(104),23,++
Adjusted EBIT margin,%,5.1,1.3,—,(2.7),0.7,—
Investments,million €,101,148,46,52,95,81
Employees (Sept. 30),,"15,914","16,329",3,"15,914","16,329",3
