0,1,2,3
"PROPORTION OF OPEX FROM PRODUCTS OR SERVICES ASSOCIATED
ACTIVITIES - DISCLOSURE COVERING YEAR 2022 / 2023",,,
Economic activities,Absolute OpEx,Proportion of OpEx,change mitigation Climate
,million €,|,
A. TAXONOMY-ELIGIBLE ACTIVITIES,,,
A.1. Environmentally sustainable activities (Taxonomy-aligned),,,
3.1 Manufacture of renewable energy technologies,18,1,
5.9 Material recovery from non-hazardous waste,4,0,
OpEx of environmentally sustainable activities (Taxonomy-aligned) (A.1),23,1,
A.2 Taxonomy-Eligible but not environmentally sustainable activities (not Taxonomy-aligned),,,
3.1 Manufacture of renewable energy technologies,12,1,
3.2 Manufacture of equipment for the production and use of hydrogen,15,1,
3.6 Manufacture of other low carbon technologies,1,0,
3.9 Manufacture of iron and steel,"1,093",70,
5.9 Material recovery from non-hazardous waste,1,0,
6.6 Freight transport services by road,11,1,
OpEx of Taxonomy-Eligible but not environmentally sustainable activities (not Taxonomy-aligned) (A.2),"1,132",72,
Total (A.1 + A.2),"1,154",74,
B. TAXONOMY-NON-ELIGIBLE ACTIVITIES,,,
OpEx of Taxonomy-non-eligible activities (B),408,26,
Total (A + B),"1,562",100,
