0,1,2,3,4,5,6,7,8,9,10
,Russwurm,Behrendt,Berard,Buchner,Colberg,Gather,Gifford,Günther,Luge,Volpert
Length of service,,,,,,,,,,
Member since,2019,2020,2023,2021,2018,2018,2019,2020,2019,2020
Diversity,,,,,,,,,,
Year of birth,1963,1959,1953,1960,1959,1953,1965,1967,1957,1960
Gender,m,f,m,m,m,f,f,m,m,f
Nationality,German,German,French,German,German,German,German,German,German,German
Professional background,Engineer,administrator Business,Economist,Industrial engineer,"Business administrator/ business information
systems
expert","Mathematici
an/business
administrator",administrator Banking,Economist,Lawyer,administrator Business
Professional expertise,,,,,,,,,,
Corporate management and control1),"X
:selected:","X
:selected:","X
:selected:","X
:selected:","X
:selected:","X
:selected:","X
:selected:","×
:selected:","X
:selected:",:unselected:
HR2),"X
:selected:",":unselected:
:unselected:","1
:unselected:","1
:unselected: :unselected:","×
:selected:","×
:selected:","1
:unselected:
:unselected:","×
:selected:","X
:selected:",":unselected:
:unselected:"
Finance and the capital market,:unselected:,:unselected:,:unselected:,:unselected:,"X
:selected:",:unselected:,"×
:selected:","×
:selected:",:unselected:,"×
:selected:"
Sustainability,"X
:selected:","X
:selected:",:unselected:,"X
:selected:",:unselected:,"×
:selected:","×
:selected:","×
:selected:",:unselected:,"×
:selected:"
Digitalization and IT,"X
:selected:",:unselected:,"X
:selected:",:unselected:,"×
:selected:","×
:selected:","X
:selected:","×
:selected:",:unselected:,:unselected:
Accounting and auditing,"–
:unselected:","–
:unselected:",,"–
:unselected: :unselected:","X
:selected:","–
:unselected:","–
:unselected:","X
:selected:","X
:selected:","X
:selected:"
Law/compliance/ corporate governance,"X
:selected:","X
:selected:",,"1
:unselected: :unselected:","1
:unselected: :unselected:","X
:selected:","X
:selected:","X
:selected:","X
:selected:",:unselected:
Knowledge of the business areas,,,,,,,,,,
Steel Europe,"X
:selected:","X
:selected:","–
:unselected:","X
:selected:","X
:selected:","X
:selected:","–
:unselected:","X
:selected:","–
:unselected:","–
:unselected: :unselected:"
Materials Services,":unselected:
:unselected:","×
:selected:","X
:selected:",:unselected: :unselected:,"1
:unselected: :unselected:",:unselected: :unselected:,"X
:selected:","×
:selected:","X
:selected:",:unselected:
Bearings/Forged Technologies,"X
:selected:","X
:selected:","–
:unselected:","X
:selected:","X
:selected:","–
:unselected:","–
:unselected:","–
:unselected:","X
:selected:","–
:unselected:"
Automotive Technology,"X
:selected:","X
:selected:","–
:unselected:","X
:selected:","X
:selected:","–
:unselected:","X
:selected:","–
:unselected:","–
:unselected:","–
:unselected:"
Marine Systems,:unselected:,:unselected:,:unselected:,:unselected:,"X
:selected:",:unselected:,:unselected:,:unselected:,:unselected:,:unselected:
