0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Year Y,2023,,,Substantial contribution criteria,,,,,,"Do no significant harm criteria (""DNSH criteria"")",,,,,,,"proportion
of",(19),(20)
Economic activities (1),Code (2),Opex (3),"Proportion of Opex, year Y (4)","Climate change mitigation (5) Climate change adaptation (6)
Circular economy (9)
Pollution (8) Water (7) YES; NO; N/EL",,,,,Biodiversity (10),"Climate change mitigation (11) Climate change adaptation (12)
Pollution (14) Water (13) YES/NO",,,,Circular economy (15),Biodiversity (16),Minimum safeguards (17),"Opex (A.1.) or Taxonomy-eligible
Taxonomy-aligned proportion
Opex (A.2.) in year Y-1 (18)",Category (enabling activity),Category (transitional activity)
,,€m,%,,,,,,,,,,,,,,%,ET,
A. TAXONOMY-ELIGIBLE ACTIVITIES,,,,,,,,,,,,,,,,,,,
A.1. Environmentally sustainable activities (Taxonomy-aligned),,,,,,,,,,,,,,,,,,,
,CCM,,,,N/,N/,N/,N/,N/,,,,,,,,,,
Manufacture of batteries,3.4,101,5.1%,YES,EL,EL,EL,EL,EL,YES YES,,YES,YES,YES,YES,YES,-%,E,
Manufacture of other low carbon technologies,CCM 3.6,46,2.3%,YES,N/ EL,N/ EL,N/ EL,"N/
EL","N/
EL",YES,YES,YES,YES,YES,YES,YES,-%,E,
Manufacture of automotive,CCM,,,,N/ EL,N/,N/,N/,N/,YES YES,,YES,,,,,,,
and mobility components,3.18,240,12.0%,YES,,EL,EL,EL,EL,,,,YES,YES,YES,YES,-%,E,
Opex of environmentally sustainable activities (Taxonomy- aligned) (A.1.),,388,19.4%,19.4%,-%,-%,-%,-%,-%,YES,YES,YES,YES,YES,YES,YES,-%,,
Of which enabling,,388,19.4%,19.4%,-%,-%,-%,-%,-%,YES,YES,YES,YES,YES,YES,YES,-%,E,
Of which transitional,,0,-%,-%,,,,,,YES,YES,YES,YES,YES,YES,YES,-%,,T
A.2. Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities),,,,,,,,,,,,,,,,,,,
