0,1,2
(in millions of euros),"December 31, 2023","December 31, 2022"
Provisions for pensions and other employee benefits,853,775
Provisions for product warranties,465,460
Provisions for onerous contracts,236,329
Provisions for restructuring costs,68,51
Provisions for unfavorable contracts,42,186
Provisions for employee-related and other disputes,150,110
Provisions for tax-related disputes,18,25
Environmental provisions,9,15
PROVISIONS,"1,841","1,951"
Of which long-term portion (more than one year),"1,260","1,380"
