0,1,2,3,4,5,6,7,8
(in millions of euros),Contractual cash flows,,,,,,,
,Carrying amount,<1 year,≥1 year and ≤5 years,,,,>5 years,Total
,,,2025,2026,2027,2028,2029 and beyond,
Bonds,"3,936",806,701,692,833,742,635,"4,409"
Schuldschein loans (German private placements),552,26,411,8,120,2,52,619
Bilateral bank loans,250,13,10,109,56,104,—,292
European Investment Bank (EIB) loan,587,56,105,104,103,103,152,623
Lease liabilities,581,128,107,87,72,61,224,679
Other borrowings,23,17,4,1,1,—,—,23
Accrued interest(1),85,—,—,—,—,—,—,—
LONG-TERM DEBT,"6,014","1,046","1,338","1,001","1,185","1,012","1,063","6,645"
