0,1,2,3,4
(in millions of euros),Share capital,Additional paid-in capital,Reserves and other,Stockholders' equity
"STOCKHOLDERS' EQUITY AT DECEMBER 31, 2021",243,"1,560","2,251","4,054"
Dividends paid,"—
:unselected:","—
:unselected:",(84),(84)
Capital increase,"1
:unselected:","13
:selected:",—,14
Other movements,"—
:unselected:","—
:unselected:",(62),(62)
Net income for the year,"—
:unselected:","—
:unselected:",203,203
"STOCKHOLDERS' EQUITY AT DECEMBER 31, 2022",244,"1,573","2,308","4,125"
Dividends paid,"—
:unselected: :unselected:","—
:unselected:",(92),(92)
Capital increase,"1
:unselected:",15,—,16
Net income for the year,"—
:unselected:",—,194,194
"STOCKHOLDERS' EQUITY AT DECEMBER 31, 2023",245,"1,588","2,410","4,243"
