0,1,2,3,4,5,6,7,8,9,10
Company (in millions of euros),Share capital,equity(1) Other,Interest (in %),Carrying amount of shares,,"Outstanding loans and advances
granted","endorsements
Guarantees and given",Sales,Net income (loss),Dividends
,,,,Gross,Net,,,,,
Valeo Bayen Paris - France (SIREN: 380 072 520),"2,837",958,100,"4,603","4,603",680,—,90,(56),57
Valeo Service Saint Denis - France (SIREN: 306 486 408),23,2,100,74,36,—,—,160,"(7)
:selected:","—
:unselected:"
Équipement 11 Paris - France (SIREN: 440 331 411),"—
:unselected:","(5)
:selected:",100,8,"—
:unselected:","8
:unselected:","—
:unselected:","—
:unselected:","(5)
:selected:","—
:unselected:"
Valeo International Holding BV Helmond - Netherlands,128,796,100,443,443,—,"—
:unselected:",90,45,140
Coreval Strassen - Luxembourg,23,1,99,23,"23
:selected:","—
:unselected:","—
:unselected:",6,"—
:unselected:","—
:unselected:"
Valeo Auto-Electric GmbH Bietigheim - Germany,"—
:unselected:",196,5,27,10,"—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:"
Valeo Embrayages Tunisie Jedeida - Tunisia,"—
:unselected:","—
:unselected:",100,6,—,"4
:selected:","—
:unselected:","—
:unselected:","—
:unselected:","—
:unselected:"
Valeo Otomotiv Sanayi ve Ticaret AS(3) Bursa - Turkey,4,142,100,40,40,—,—,415,30,—
Amalgamations Valeo Clutch Private Ltd(2)(3) Chennai - India,8,11,50,9,9,"—
:unselected:","—
:unselected:",92,5,1
Valeo Pyeong Hwa Co. Ltd.(3) Daegu - South Korea,9,136,50,12,"12
:selected:","—
:unselected:","—
:unselected:",509,22,5
"Valeo Pyeong HWA International Co., Ltd Seoul - South Korea",2,58,50,"1
:unselected:","1
:unselected:","—
:unselected:","—
:unselected:",147,19,5
"Valeo Pyeong HWA Automotive Components Co., Ltd Daegu - South Korea",2,47,27,2,2,"—
:unselected:",—,259,21,3
Other French subsidiaries and affiliates (aggregate),,,,4,—,,,,,
Other foreign subsidiaries and affiliates (aggregate),,,,2,2,140,,,,—
TOTAL,,,,"5,254","5,180",832,,,,210
