0,1
"March 11, 2024",Press release announcing the implementation of a share buyback program
"March 4, 2024",Monthly share buyback information - February 2024
"February 29, 2024",2023 results press release and presentation
"February 29, 2024",2023 consolidated financial statements - 2023 results
"February 7, 2024",Monthly share buyback information - January 2024
"January 9, 2024","Half-year update on the liquidity agreement at December 31, 2023"
"January 9, 2024",Semester summary - December 2023
"January 9, 2024",Monthly share buyback information - December 2023
"December 6, 2023",Monthly share buyback information - November 2023
"November 6, 2023",Monthly share buyback information - October 2023
"October 26, 2023",Presentation - Third-quarter 2023 sales
"October 26, 2023",Press release - Third-quarter 2023 sales
"October 9, 2023",Monthly share buyback information - September 2023
"October 6, 2023",Press release - Green bond issue
"September 6, 2023",Monthly share buyback information - August 2023
"August 3, 2023",Monthly share buyback information - July 2023
"July 27, 2023",Presentation - First-half 2023 results
"July 27, 2023",2023 half-year financial report
"July 27, 2023",Press release - First-half 2023 results
"July 10, 2023","Half-year update on the liquidity agreement at June 30, 2023"
"July 10, 2023",Monthly share buyback information - June 2023
"June 9, 2023",Monthly share buyback information - May 2023
"May 24, 2023",2022 Activity and Sustainable Development Report
"May 15, 2023",Monthly share buyback information - April 2023
"April 25, 2023",Presentation - First-quarter 2023 sales
"April 25, 2023",Press release - First-quarter 2023 sales
"March 30, 2023",Valeo: 2022 Universal Registration Document availability
"March 30, 2023",2022 Universal Registration Document
"March 30, 2023",2022 Integrated Report
