0,1,2,3,4,5,6,7
,,Turnover,,Capex,,Opex,
,,2023,2022,2023,2022,2023,2022
Climate change adaptation,Proportion eligible for the Taxonomy,21.0%,6.9%,14.0%,8.5%,19.4%,12.7%
,3.4 Manufacture of batteries,4.6%,3.5%,5.1%,5.1%,5.1%,6.5%
,3.18 Manufacture of automotive and mobility components,6.9%,N/A,6.4%,N/A,12.0%,N/A
,3.6 Manufacture of other low carbon technologies,7.5%,3.4%,1.8%,3.4%,2.3%,6.1%
,"6.5 Transport by motorbikes, passenger cars and light commercial vehicles",-%,-%,0.6%,-%,-%,-%
Transition to a circular economy,"5.1 Repair, refurbishment and remanufacturing",0.2%,N/A,0.1%,N/A,-%,N/A
,5.2 Sale of spare parts,1.7%,N/A,-%,N/A,-%,N/A
,Proportion not eligible for the Taxonomy,79.0%,93.1%,86.0%,91.5%,80.6%,87.3%
