0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,€m,%,,YES; NO; N/EL,,,,,YES/NO,,,,,,,%,ET,
A. TAXONOMY-ELIGIBLE ACTIVITIES,,,,,,,,,,,,,,,,,,,,
A.1. Environmentally sustainable activities (Taxonomy-aligned),,,,,,,,,,,,,,,,,,,,
,,CCM,,,,,,,,,,,,,,,,,,
Manufacture of batteries,,3.4,"1,015",4.6%,YES,N/EL,N/EL,N/EL,N/EL,N/EL,YES,YES,YES,YES,YES,YES,YES,-%,E,
Manufacture of other low carbon technologies,,CCM 3.6,"1,664",7.5%,YES,N/EL,N/EL,N/EL,N/EL,N/EL,YES,YES,YES,YES,YES,YES,YES,-%,E,
Manufacture of automotive and mobility components,,CCM 3.18,"1,515",6.9%,YES,N/EL,N/EL,N/EL,N/EL,N/EL,YES,YES,YES,YES,YES,YES,,,E,
,,,,,,,,,,,,,,,,,YES,-%,,
Turnover of environmentally sustainable activities (Taxonomy- aligned) (A.1.),,,"4,194",19.0%,19.0%,,,,,-%,YES,YES,YES,YES,YES,YES,YES,-%,,
Of which enabling,,,"4,194",19.0%,19.0%,-%,-%,-%,-%,-%,YES,YES,YES,YES,YES,YES,YES,-%,E,
Of which transitional,,,0,-%,%,,,,,,YES,YES,YES,YES,YES,YES,YES,-%,,T
