0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,€m,%,YES; NO; N/EL,,,YES/NO,,,,%,m,T
A. TAXONOMY-ELIGIBLE ACTIVITIES,,,,,,,,,,,,,
A.1. Environmentally sustainable activities (Taxonomy-aligned),,,,,,,,,,,,,
Manufacture of batteries,CCM,,,,,,,,,,,,
,3.4,112,5.1%,YES,N/EL N/EL N/EL N/EL,,N/EL YES YES YES YES YES,,YES,YES,-%,E,
Manufacture of other low,CCM,,,,,,,,,,,,
carbon technologies,3.6,39,1.8%,YES,N/EL N/EL N/EL N/EL,,N/EL YES YES YES YES YES,,YES,YES,-%,E,
Manufacture of automotive and mobility components,CCM 3.18,142,6.4%,YES,N/EL N/EL N/EL,N/EL,N/EL YES YES YES YES YES,,YES,YES,-%,E,
Capex of environmentally sustainable activities (Taxonomy- aligned) (A.1.),,293,13.2%,13.2%,-% -% -%,-%,-% YES YES YES YES YES,,YES,YES,-%,,
Of which enabling,,293,13.2%,13.2%,-% -% -%,-%,-% YES YES YES YES YES,,YES,YES,-%,E,
Of which transitional,,0,-%,-%,,,YES YES YES YES,YES,YES,YES,-%,,T
