0,1,2,3
GRI code,Description of the indicator,Chapters/Sections,Pages
G4-EN16 :selected: ·,Energy-related indirect greenhouse gas emissions (Scope 2),4.2.2 - Sustainable development challenges and non-financial risks,196-240
"G4-EN17
:unselected:",Other indirect greenhouse gas emissions (Scope 3),4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN18 :selected: •,Greenhouse gas emissions intensity,4.1.3 - Valeo's Carbon Neutrality Contribution Plan for 2050 4.2.2 - Sustainable development challenges and non-financial risks,193-195 196-240
G4-EN19 :selected: •,Reduction of greenhouse gas emissions,4.1.3 - Valeo's Carbon Neutrality Contribution Plan for 2050 4.2.2 - Sustainable development challenges and non-financial risks,193-195 236-273
G4-DMA :selected: ·,Management approach,4.1.3 - Valeo's Carbon Neutrality Contribution Plan for 2050 4.2.2 - Sustainable development challenges and non-financial risks,193-195 236-273 292-296
G4-EN20 :selected: ·,Emissions of ozone-depleting substances (ODS),4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN21 •,Emissions of nitrogen oxides (NOx) and sulfur oxides (SOx) and other significant atmospheric emissions,4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN22 •,Total water discharge by quality and destination,4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN23 •,Total weight of waste by type and disposal method,4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN24 •,Total number and volume of significant spills,4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN25 •,"Weight of transported, imported, exported or treated waste deemed hazardous under the terms of the Basel Convention",4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-DMA :selected: ·,Management approach,4.3.3 - Environmental policies and commitments,247-255
G4-EN30 :selected: •,"Significant environmental impacts of transporting products and other goods and materials for the organization's operations, and transporting members of the workforce",4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN1 :selected: •,Consumption of raw materials (packaging only),4.3.3 - Environmental policies and commitments,247-255
G4-DMA :selected: ·,Management approach,4.3.3 - Environmental policies and commitments,247-255
G4-EN8 :selected:,Total water withdrawal by source,4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN9 :selected:,Water sources significantly affected by withdrawal of water,4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-EN10 :selected:,Percentage and total volume of water recycled and reused,4.2.2 - Sustainable development challenges and non-financial risks,196-240
G4-DMA :selected: ·,Management approach,4.3.3 - Environmental policies and commitments,247-255
G4-EN11 :selected: ·,"Operational sites owned, leased or managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",4.3.3 - Environmental policies and commitments,247-255
G4-EN12 :selected:,"Description of significant impacts of activities, products and services on biodiversity in protected areas and areas of high biodiversity value outside protected areas",Not disclosed,
G4-EN13 :selected:,·Habitats protected or restored,4.3.3 - Environmental policies and commitments,247-255
G4-EN14,"Total number of IUCN Red List species and national conservation list species with habitats in areas affected by the operations of the organization, by level of extinction risk",Not disclosed,
