0,1,2,3,4,5
,,,,,
,,,,,
Task Force on Climate-related Financial Disclosures (TCFD) cross-reference table,,,,,
,TCFD Recommendations,,,Chapters/Sections,Pages
GOVERNANCE,,,,,
Disclose the organization's governance around climate-related risks and opportunities,,a) Describe the board's oversight of climate-related risks and opportunities,,4.1.1 - Vision and governance,188-192
,,b) Describe management's role in assessing and managing climate- related risks and opportunities,,4.1.1 - Vision and governance,188-192
STRATEGY,,,,,
"Disclose the actual and potential impacts of climate-related risks and opportunities on the organization's businesses, strategy, and financial planning where such information is material",,"a) Describe the climate-related risks and opportunities the organization has identified over the short, medium and long term",,4.2.2 - Valeo's non-financial risks,197-198
,,"b) Describe the impact of climate- related risks and opportunities on the organizations' businesses, strategy and
financial planning",,"development challenges and
4.2.2 - Sustainable non-financial risks",196-240
,,"c) Describe the resilience of the organization's strategy, taking into account different climate scenarios,",,4.1.3 - Valeo's Carbon Neutrality Contribution Plan for 2050,193-195
,,including a scenario of 2ºC or less,,4.1.1.4 - Business model,192
RISK MANAGEMENT,,,,,
,,"a) Describe the organization's processes for identifying and assessing
climate-related risks",,"development challenges
4.2.2 - Sustainable and non-financial risks",196-240
"Disclose
assesses","how the organization identifies,
and manages climate-related",a) Describe the organization's processes for managing climate- related risks,,4.2.2 - Sustainable development challenges and non-financial risks,196-240
risks,,"c) Describe how the processes for identifying, assessing, and managing climate-related risks are integrated into the organization's risk management",,4.2.2 - Sustainable development challenges and non-financial risks,196-240
METRICS AND TARGETS,,,,,
Disclose the metrics and targets used to assess and manage relevant climate- related risks and opportunities where such information is significant,,a) Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process,,4.5 - Non-financial performance indicators,274-279
,,"b) Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas emissions, and the related risks",,4.2.2 - Sustainable development challenges and non-financial risks,196-240
,,c) Describe the targets used by the organization to manage climate- related risks and opportunities and performance against targets,,4.2.2 - Sustainable development challenges and non-financial risks,196-240
