0,1,2,3,4,5,6
,Number of sites,Comfort & Driving Assistance Systems,Powertrain Systems,Thermal Systems,Visibility Systems,Valeo Service
Manufacturing,155,21,44,45,38,7
Assembly,132,21,36,40,34,1
Processing,92,13,28,25,25,1
Injection molding,72,13,12,18,29,0
"Heat treatment (ovens, furnaces)",89,15,25,25,23,1
Painting/varnishing,53,11,11,5,26,0
Welding,78,9,29,20,20,0
Use of evaporating oils (VOC-emitting*),23,3,6,11,3,0
Degreasing (surface cleaning),63,7,17,19,20,0
Surface treatment (altering the surface properties of a part),49,6,11,10,22,0
