0,1,2,3,4,5,6,7
,,Turnover,,Capex,,Opex,
,,2023,2022,2023,2022,2023,2022
Climate change adaptation,Proportion aligned with the Taxonomy,19.0%,-%,13.2%,-%,19.4%,-%
,3.4 Manufacture of batteries,4.6%,-%,5.1%,-%,5.1%,-%
,3.18 Manufacture of automotive and mobility components,6.9%,N/A,6.4%,N/A,12.0%,N/A
,3.6 Manufacture of other low carbon technologies,7.5%,-%,1.8%,-%,2.3%,-%
,"6.5 Transport by motorbikes, passenger cars and light commercial vehicles",-%,-%,-%,-%,-%,-%
Transition to a circular economy,"5.1 Repair, refurbishment and remanufacturing",N/A,"N/A
:selected:",N/A,N/A,N/A,N/A
,5.2 Sale of spare parts,N/A,N/A,N/A,N/A,N/A,N/A
,Proportion not aligned with the Taxonomy,81.0%,100.0%,86.8%,100.0%,80.6%,100.0%
