0,1,2,3,4,5,6,7,8,9,10,11,12,13
PROFESSIONAL EXPERIENCES,Francisco J. Riberas Mera,Francisco López Peña,Norimichi Hatayama,Alberto Rodríguez Fraile,Pedro Sainz de Baranda,Gonzalo Urquijo Fdz. de Araoz,Ana García Fau,Juan María Riberas Mera,Javier Rodríguez Pellitero,César Cernuda Rego,Chisato Eiki,Loreto Ordoñez Solís,Marieta del Rivero Bermejo
,NOMINATION & COMPENSATION COMMITTEE,,,,,,AUDIT COMMITTEE,,,ESG COMMITTEE,,,
"Experience on governing bodies, steering committees or in the I management of other listed or relevant companies
:unselected:",:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:
"2 Experience in strategy definition and execution
:selected:",:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:
"3 Experience in growing companies or/and in consolidation process
:unselected:",:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,,. :selected:,:selected:,:selected:,. :selected:
4 Experience in international environments,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,:selected:,,:selected:,:selected:,:selected:,:selected:
"Experience in sectors with a high technological development or 5 companies undertaking a digital information process
:unselected:",,,,,:selected:,,:selected:,,,:selected:,,:selected:,:selected:
"6 Experience in the automotive industry
:unselected:",:selected:,:selected:,:selected:,,,,,:selected:,,,,,
"7 Experience in the steel industry
:selected:",:selected:,,:selected:,,,:selected:,,:selected:,,,,,
"8 Experience in ESG (Environmental, Social & Governance)
:unselected:",,,,,,:selected:,,,:selected:,:selected:,:selected:,:selected:,:selected:
