0,1,2,3,4
Country,2022 Vol. Redundancies,2023 Vol. Redundancies,VTR 2022 (%),VTR 2023 (%)
Argentina,24,17,2.9%,1.9%
Brazil,24,247,5.5%,4.9%
Bulgaria,30,47,17.1%,23.0%
China,878,928,22.5%,20.4%
Czech Republic,200,150,16.2%,13.4%
France,88,102,5.7%,6.6%
Germany,202,195,5.8%,5.6%
Hungary,124,98,25.0%,19.7%
India,139,132,16.4%,14.3%
Japan,11,8,13.5%,7.6%
Mexico,460,411,16.0%,12.8%
Morocco,-,15,0.0%,13.4%
Poland,76,32,9.7%,4.1%
Portugal,96,48,9.7%,4.9%
Romania,95,86,23.6%,10.8%
Russian Fed.,42,13,10.5%,6.0%
Slovakia,17,21,6.5%,7.4%
South Korea,35,28,19.8%,16.6%
Spain,154,157,2.9%,2.8%
Sweden,28,18,12.1%,7.6%
Taiwan,-,2,0.0%,13.3%
Thailand,0,0,0.0%,0.0%
Turkey,292,93,7.9%,24.2%
United Kingdom,211,160,11.5%,8.9%
USA,"1,799","1,109",44.8%,26.8%
Total,"5,242","4,955",13.7%,12.2%
