0,1,2,3,4,5,6,7,8
,Corporate tax expenses,,Profit before taxes,,Subsid. Capital,,Subsid. Operations,
,2022,2023,2022,2023,2022,2023,2022,2023
WESTERN EUROPE,,,,,,,,
Spain,-19.8,-16.6,134.7,211.0,2.7,3.7,7.4,9.3
Germany,2.7,-2.8,22.2,35.4,0.4,0.1,0.6,1.1
United Kingdom,0.5,1.2,-36.1,-12.4,0.0,0.0,0.6,0.5
France,-0.7,-5.6,32.0,23.9,0.2,0.2,0.3,1.4
Portugal,-1.8,-4.8,20.9,26.1,0.9,0.8,0.4,0.1
Sweden,0.0,-0.2,34.9,64.6,0.0,0.0,0.0,0.0
Luxembourg,0.1,O.C,-0.2,0.0,0.0,0.0,0.0,0.0
Morocco,0.0,O.C,1.6,5.8,0.0,0.0,0.0,0.0
Italy,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
