0,1,2,3
ASPECTS,PRINCIPLES OF THE GLOBAL COMPACT,GRI INDICATORS,SDGS
General scopes,,,
Human Rights,1. Businesses should support and respect the protection of internationally proclaimed human rights within their sphere of influence,"403-2, 403-3, 405-1, 405-2, 406-1, 407-1, 409-1, 414-1, 416-1",1 2 3 4 5 6 7 8
,2. Businesses should make sure that they are not complicit in human rights abuses,"414-1, 406-1-409-1",10 11 16 17
Labour Rights,3. Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining,"402-1, 407-1, 414-1",1 :selected: 3 5 8 9 10 16 17
,4. Businesses should uphold the elimination of all forms of forced and compulsory labour,"409-1, 414-1",
,5. Businesses should uphold the effective abolition of child labour,"409-1, 412-2,",
,6. Businesses should uphold the elimination of discrimination in respect of employment and occupation,"401-1, 405-1, 405-2, 406-1, 414-1",
Environment,7. Businesses should support a precautionary approach to environmental challenges,"301-3, 302-1, 303-1, 304-2, 305-1-305-3, 306-1, 306-2, 307-1, 416-1, 417-1",2 6 7 9 11 12 13 14
,8. Businesses should undertake initiatives to promote greater environmental responsibility,201-2,15 17
,9. Businesses should encourage the development and diffusion of environmentally-friendly technologies 301-3,,
Anti-corruption,"10. Businesses should work against corruption in all its forms, including extortion and bribery",205-1.,3 10 16 17
