0,1,2
(€),2022,2023
Total Number of Shares,"575,514,360","575,514,360"
Share Price at year end,3.61,3.51
Market Cap. at year end (in Thousands),"2,080",2.019
Maximum Price,4.67,4.51
Date of Max. Price,06/01/2022,27/07/2023
Minimum Price,2.82,3.35
Date of Min. Price,08/03/2022,13/12/2023
Average Price,3.50,3.99
Total Volume (in Shares),"127,909,369","83,637,158"
Average of Daily Volume Traded (in Shares),"497,702","326,708"
Total Turnover (in Millions),439.96,330.86
Average of Turnover Traded (in Thousands),"1,711.90","1,292.42"
