0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,2023,,,,Substantial contribution criteria,,,,,"Criteria for absence of significant harm (""DNSH”).",,,,,,conforms,,
,,,,,,,,,,,,,,,,that,,
,,,,,,,,,,,,,,,,,,
,,Turnover,Turnover,change,to climate,marine,Economy,,and,change,to climate,marine,Economy,and,guarantees,"2022
of turnover",facilitating,transitional
,,Absolute,Proportion,"Climate
mitigation",Adaptation,"and
resources",,Pollution,"Biodiversity
ecosystems",mitigation,Adaptation,"and
resources",Pollution,"Biodiversity
ecosystems",Minimum,"year
Proportion",Category,Category
,,,,,,,,,,,,,,,,the,,
,Codes,M€,,,change,Water,Circular,,,Climate,change,Water,Circular,,,,activity,activity
,,,,,,,,,,,,,,,,to,,
A. ELIGIBLE ACTIVITIES ACCORDING TO THE TAXONOMY,,,,,,,,,,,,,,,,,,
A.1. Environmentally sustainable activities (conforming the taxonomy),,,,,,,,,,,,,,,,,,
Manufacturing of automotive and mobility components,CCM 3.18,51.8,0.4%,S,N/EL,N/EL,N/EL,N/EL,N/EL,S,S,S,S S,S,S,0%,F,
Turnover of environmentally sustainable activities (conforming to the taxonomy) (A.1),,51.8,0.4%,0.4%,0%,0%,0%,0%,0%,S,S,S,S S,S,S,0%*,,
Of which: facilitating :unselected:,,51.8,100%,100%,0%,0%,0%,0%,0%,S,S,S,S S,S,S,0%,F,
Of which: transitional :unselected:,,0,0%,,,,,,,S,S,S,S S,S,S,0%,,T
A.2. Activities eligible according to the taxonomy but not environmentally sustainable (activities that do not conform to the taxonomy),,,,,,,,,,,,,,,,,,
"Manufacture of batteries, cells and accumulators",CCM 3.4,"421,5",3.4%,EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,,,,,2.32%,,
Manufacturing of automotive and mobility components,CCM 3.18,41.8,"0,3%",EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,,,,,0%,,
Turnover from activities eligible according to the taxonomy but not environmentally sustainable (activities that do not conform the taxonomy) (A.2),,463.4,3.8%,3.78%,0%,0%,0%,0%,0%,,,,,,,2.32%,,
A. Turnover of eligible activities according to taxonomy (A.1+A.2),,515.2,4.2%,4.2%,0%,0%,0%,0%,0%,,,,,,,2.32%,,
B. ACTIVITIES NOT ELIGIBLE ACCORDING TO THE TAXONOMY,,,,,,,,,,,,,,,,,,
Turnover from non-eligible activities according to taxonomy (B),,"11,758.5€",95.8%,,,,,,,,,,,,,,,
Total,,"12,273.7€",100%,,,,,,,,,,,,,,,
