0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,2023,,,Substantial contribution criteria,,,,,,Criteria for absence of significant harm (“DNSH”).,,,,,,,to,,
,,,of OpEx,,climate,,,,,,to climate,,,,,,that conforms,facilitating,transitional
,,OpEx,,change,to,marine,Economy,,and,change,,marine,Economy,,and,guarantees,of OpEx,,
,Codes,Absolute,Proportion,"Climate
mitigation","Adaptation
change","Water and
resources",Circular,Pollution,"Biodiversity
ecosystems","Climate
mitigation","Adaptation
change","Water and
resources",Circular,Pollution,"Biodiversity
ecosystems",Minimum,"the year 2022
Proportion","Category
activity","Category
activity"
,,,,,,,,,,,,,,,,,,,
A. ELIGIBLE ACTIVITIES ACCORDING TO THE TAXONOMY,,,,,,,,,,,,,,,,,,,
A.1. Environmentally sustainable activities (conforming the taxonomy),,,,,,,,,,,,,,,,,,,
Manufacturing of automotive and mobility components,CCM 3.18,"1.8
:selected:",0.1%,S,N/EL,N/EL,N/EL,N/EL,N/EL,S,S,S,S S,,S,S,0%,F,
OpEx of environmentally sustainable activities (conforming to the taxonomy) (A.1),,1.8,0.1%,0.1%,0%,0%,0%,0%,0%,S,S,S,S,S,S,S,0%*,,
Of which: facilitating :unselected:,,1.8,100%,100%,0%,0%,0%,0%,0%,S,S,S,S,S,S,S,0%,F,
Of which: transitional :unselected:,,"0
:unselected:",0%,0%,,,,,,S,S,S,S,S,S,S,0%,,T
A.2. Activities eligible according to the taxonomy but not environmentally sustainable (activities that do not conform to the taxonomy),,,,,,,,,,,,,,,,,,,
"Manufacture of batteries, cells and accumulators",CCM 3.4,27.9,2.0%,EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,2.0%,,
Manufacturing of automotive and mobility components,CCM 3.18,0.0,0.0%,EL,N/EL,N/EL,N/EL,N/EL,N/EL,,,,,,,,0%,,
OpEx from activities eligible according to the taxonomy but not environmentally sustainable (activities that do not conform the taxonomy) (A.2),,27.9,2.0%,2.0%,0%,0%,0%,0%,0%,,,,,,,,2.0%,,
A. OpEx of eligible activities according to taxonomy (A.1+A.2),,29.7,2.1%,2.1%,0%,0%,0%,"0%
:unselected:","0%
:unselected:",,,,,,,,2.0%,,
B. ACTIVITIES NOT ELIGIBLE ACCORDING TO THE TAXONOMY,,,,,,,,,,,,,,,,,,,
OpEx from non-eligible activities according to taxonomy (B),,"1,400.74€",97.9%,,,,,,,,,,,,,,,,
Total,,"1,430.49€",100%,,,,,,,,,,,,,,,,
